station_id,station_name,latitude,longitude,elevation_m
1145,                                        ,-999,-999,-999
1147,                                        ,-999,-999,-999
1148,                                        ,-999,-999,-999
1153,                                        ,-999,-999,-999
1163,                                        ,-999,-999,-999
1168,                                        ,-999,-999,-999
1177,                                        ,-999,-999,-999
1178,                                        ,-999,-999,-999
1185,                                        ,-999,-999,-999
1188,                                        ,-999,-999,-999
1192,                                        ,-999,-999,-999
1193,                                        ,-999,-999,-999
1197,                                        ,-999,-999,-999
1209,                                        ,-999,-999,-999
1218,                                        ,-999,-999,-999
1224,                                        ,-999,-999,-999
1238,                                        ,-999,-999,-999
1241,                                        ,-999,-999,-999
1253,                                        ,-999,-999,-999
1254,                                        ,-999,-999,-999
1266,                                        ,-999,-999,-999
1270,                                        ,-999,-999,-999
1277,                                        ,-999,-999,-999
1289,                                        ,-999,-999,-999
1291,                                        ,-999,-999,-999
1298,                                        ,-999,-999,-999
1299,                                        ,-999,-999,-999
1301,                                        ,-999,-999,-999
1309,                                        ,-999,-999,-999
1310,                                        ,-999,-999,-999
1325,                                        ,-999,-999,-999
1330,                                        ,-999,-999,-999
1334,                                        ,-999,-999,-999
1341,                                        ,-999,-999,-999
1360,                                        ,-999,-999,-999
1367,                                        ,-999,-999,-999
1373,                                        ,-999,-999,-999
1374,                                        ,-999,-999,-999
1389,                                        ,-999,-999,-999
1391,                                        ,-999,-999,-999
1393,                                        ,-999,-999,-999
1394,                                        ,-999,-999,-999
1407,                                        ,-999,-999,-999
1408,                                        ,-999,-999,-999
1413,                                        ,-999,-999,-999
1418,                                        ,-999,-999,-999
1424,                                        ,-999,-999,-999
1428,                                        ,-999,-999,-999
1429,                                        ,-999,-999,-999
1433,                                        ,-999,-999,-999
1435,                                        ,-999,-999,-999
1436,                                        ,-999,-999,-999
1441,                                        ,-999,-999,-999
1466,                                        ,-999,-999,-999
1475,                                        ,-999,-999,-999
1478,                                        ,-999,-999,-999
1483,                                        ,-999,-999,-999
1484,                                        ,-999,-999,-999
1488,                                        ,-999,-999,-999
1505,                                        ,-999,-999,-999
1508,                                        ,-999,-999,-999
1511,                                        ,-999,-999,-999
1512,                                        ,-999,-999,-999
1513,                                        ,-999,-999,-999
1518,                                        ,-999,-999,-999
1526,                                        ,-999,-999,-999
1528,                                        ,-999,-999,-999
1532,                                        ,-999,-999,-999
1535,                                        ,-999,-999,-999
1556,                                        ,-999,-999,-999
1558,                                        ,-999,-999,-999
1564,                                        ,-999,-999,-999
1565,                                        ,-999,-999,-999
1570,                                        ,-999,-999,-999
1571,                                        ,-999,-999,-999
1573,                                        ,-999,-999,-999
1588,                                        ,-999,-999,-999
1594,                                        ,-999,-999,-999
1600,                                        ,-999,-999,-999
1606,                                        ,-999,-999,-999
1613,                                        ,-999,-999,-999
1614,                                        ,-999,-999,-999
1621,                                        ,-999,-999,-999
1622,                                        ,-999,-999,-999
1627,                                        ,-999,-999,-999
1635,                                        ,-999,-999,-999
1658,                                        ,-999,-999,-999
1663,                                        ,-999,-999,-999
1664,                                        ,-999,-999,-999
1675,                                        ,-999,-999,-999
1688,                                        ,-999,-999,-999
1697,                                        ,-999,-999,-999
1710,                                        ,-999,-999,-999
1713,                                        ,-999,-999,-999
1718,                                        ,-999,-999,-999
1722,                                        ,-999,-999,-999
1723,                                        ,-999,-999,-999
1724,                                        ,-999,-999,-999
1728,                                        ,-999,-999,-999
1733,                                        ,-999,-999,-999
1734,                                        ,-999,-999,-999
1735,                                        ,-999,-999,-999
1738,                                        ,-999,-999,-999
1744,                                        ,-999,-999,-999
1745,                                        ,-999,-999,-999
1747,                                        ,-999,-999,-999
1749,                                        ,-999,-999,-999
1753,                                        ,-999,-999,-999
1755,                                        ,-999,-999,-999
1764,                                        ,-999,-999,-999
1765,                                        ,-999,-999,-999
1779,                                        ,-999,-999,-999
1793,                                        ,-999,-999,-999
1797,                                        ,-999,-999,-999
1804,                                        ,-999,-999,-999
1811,                                        ,-999,-999,-999
1813,                                        ,-999,-999,-999
1814,                                        ,-999,-999,-999
1818,                                        ,-999,-999,-999
1840,                                        ,-999,-999,-999
1848,                                        ,-999,-999,-999
1854,                                        ,-999,-999,-999
1858,                                        ,-999,-999,-999
1862,                                        ,-999,-999,-999
1876,                                        ,-999,-999,-999
1890,                                        ,-999,-999,-999
1897,                                        ,-999,-999,-999
1903,                                        ,-999,-999,-999
1904,                                        ,-999,-999,-999
1912,                                        ,-999,-999,-999
1925,                                        ,-999,-999,-999
1932,                                        ,-999,-999,-999
1941,                                        ,-999,-999,-999
1942,                                        ,-999,-999,-999
1955,                                        ,-999,-999,-999
1957,                                        ,-999,-999,-999
1961,                                        ,-999,-999,-999
1962,                                        ,-999,-999,-999
1964,                                        ,-999,-999,-999
