station_id,station_name,latitude,longitude,elevation_m,country,,,
14657,A.M.D.                                  ,-999,-999,-999,Gibraltar [United Kingdom]              ,            ,                    ,            
14858,RICHMOND HIL                            ,12.05,-61.73,155,Grenada                                 ,            ,                    ,            
14860,PEARLS AIRPO                            ,12.15,-61.62,7,Grenada                                 ,            ,                    ,            
14862,CAMP JACOB                              ,16.02,-64.03,533,Guadeloupe [France]                     ,            ,                    ,            
14863,POINTE-A-PIT                            ,16.23,-61.85,4,Guadeloupe [France]                     ,            ,                    ,            
14895,QUIMICO CENT                            ,14.58,-90.53,1494,Guatemala                               ,            ,                    ,            
14898,QUIMICO CENT                            ,14.68,-92.92,1480,Guatemala                               ,            ,                    ,            
14931,CONAKRY                                 ,11.57,-15.43,9,Guinea                                  ,            ,                    ,            
14945,ATKINSON FIE                            ,6.47,-58.25,29,Guyana                                  ,            ,                    ,            
14952,PORT-AU-PRIN                            ,18.55,-72.33,37,Haiti                                   ,            ,                    ,            
14954,PORT-AU-PRIN                            ,18.57,-74.7,36,Haiti                                   ,            ,                    ,            
15108,MARMAGAO                                ,15.42,73.78,-999,India                                   ,            ,                    ,            
15109,NOVA GOA                                ,15.47,73.82,60,India                                   ,            ,                    ,            
15126,SHOLAPUR                                ,17.68,75.93,484,India                                   ,            ,                    ,            
15144,DAMAO                                   ,20.42,72.08,28,India                                   ,            ,                    ,            
15146,                                        ,20.7,71,28,India                                   ,            ,                    ,            
15153,RAIPUR                                  ,21.25,81.68,293,India                                   ,            ,                    ,            
15155,SAUGOR ISLAND                           ,21.65,88.08,8,India                                   ,            ,                    ,            
15182,BHUJ                                    ,23.25,69.7,120,India                                   ,            ,                    ,            
15186,RANCHEE                                 ,23.38,85.33,649,India                                   ,            ,                    ,            
15194,DACCA                                   ,23.72,90.45,7,India                                   ,            ,                    ,            
15205,MT. ABU                                 ,24.6,72.72,1202,India                                   ,            ,                    ,            
15212,NOWGONG                                 ,25.03,79.48,231,India                                   ,            ,                    ,            
15234,AJMERE                                  ,26.47,74.62,491,India                                   ,            ,                    ,            
15243,GORAKHPUR                               ,26.77,83.3,78,India                                   ,            ,                    ,            
15261,BAREILLY                                ,28.35,79.4,173,India                                   ,            ,                    ,            
15268,ROORKEE                                 ,29.87,77.93,270,India                                   ,            ,                    ,            
15290,KOEPANG                                 ,-10.17,123.57,3,Indonesia                               ,            ,                    ,            
15320,DJEMBER                                 ,-8.15,113.73,83,Indonesia                               ,            ,                    ,            
15326,TOSARI                                  ,-7.9,112.92,1735,Indonesia                               ,            ,                    ,            
15346,KARANGANJAR                             ,-7.57,109.57,13,Indonesia                               ,            ,                    ,            
15359,SOERABAIA                               ,-7.27,112.75,7,Indonesia                               ,            ,                    ,            
15373,BANDOENG                                ,-6.92,107.6,730,Indonesia                               ,            ,                    ,            
15381,MT. PANGERANGO                          ,-6.75,106.97,3023,Indonesia                               ,            ,                    ,            
15382,TJIBODAS                                ,-6.75,107.02,1400,Indonesia                               ,            ,                    ,            
15383,PATJET                                  ,-6.75,107.05,1110,Indonesia                               ,            ,                    ,            
15389,BUITENZORG                              ,-6.6,106.8,240,Indonesia                               ,            ,                    ,            
15412,JAKARTA                                 ,-6.08,106.85,-999,Indonesia                               ,            ,                    ,            
15423,MAKASSAR                                ,-5.13,119.47,2,Indonesia                               ,            ,                    ,            
15443,AMBON                                   ,-3.7,128.17,4,Indonesia                               ,            ,                    ,            
15511,FORT DE KOCK                            ,-0.3,100.37,920,Indonesia                               ,            ,                    ,            
15553,MENADO                                  ,3.58,98.68,25,Indonesia                               ,            ,                    ,            
15577,UJUNG PANDANG                           ,-999,-999,-999,Indonesia                               ,            ,                    ,            
15602,DENPASAR                                ,-999,-999,-999,Indonesia                               ,            ,                    ,            
15605,JUANDA SURABAYA                         ,-999,-999,-999,Indonesia                               ,            ,                    ,            
15616,JUANDA BALIKPAPAN                       ,-999,-999,-999,Indonesia                               ,            ,                    ,            
15672,SEISTAN                                 ,31,61.5,610,Iran                                    ,            ,                    ,            
15730,TEHERAN                                 ,35.68,51.33,-999,Iran                                    ,            ,                    ,            
15782,ISPHAHAN                                ,-999,-999,-999,Iran                                    ,            ,                    ,            
15783,MESHED                                  ,-999,-999,-999,Iran                                    ,            ,                    ,            
15822,RAMADI                                  ,33.42,43.28,50,Iraq                                    ,            ,                    ,            
15912,BEIT GEMAL                              ,31.72,34.98,320,Israel                                  ,            ,                    ,            
15915,JERICHO                                 ,31.85,35.45,250,Israel                                  ,            ,                    ,            
15916,RAMLEH                                  ,31.88,34.88,76,Israel                                  ,            ,                    ,            
15932,ACRE                                    ,32.93,35.08,19,Israel                                  ,            ,                    ,            
15937,JENIN                                   ,-999,-999,-999,Israel                                  ,            ,                    ,            
16221,KINGSTON                                ,17.97,-76.78,540,Jamaica                                 ,            ,                    ,            
16222,NEWCASTLE                               ,18.1,-76.7,1158,Jamaica                                 ,            ,                    ,            
16224,CHICONA PLAN                            ,18.1,-76.63,1496,Jamaica                                 ,            ,                    ,            
16227,KEMPSHOT                                ,-999,-999,-999,Jamaica                                 ,            ,                    ,            
16228,HILL GARDENS                            ,-999,-999,-999,Jamaica                                 ,            ,                    ,            
16229,BRANDON HILL                            ,-999,-999,-999,Jamaica                                 ,            ,                    ,            
16230,CASTLETON GA                            ,-999,-999,-999,Jamaica                                 ,            ,                    ,            
16231,HOPE GARDENS                            ,-999,-999,-999,Jamaica                                 ,            ,                    ,            
16232,STONY HILL R                            ,-999,-999,-999,Jamaica                                 ,            ,                    ,            
16233,MORANT POINT                            ,-999,-999,-999,Jamaica                                 ,            ,                    ,            
16266,TITIZIMA                                ,27.08,142.18,4,Japan                                   ,            ,                    ,            
