station_id,station_name,latitude,longitude,elevation_m
82641,LILONGWE INT'L AIRPORT                  ,-13.78333,33.76667,1229
82642,SANTA ANA                               ,-13.76667,-65.43333,144
82643,PISCO                                   ,-13.75,-76.28333,7
82644,CUZCO                                   ,-13.55,-71.98333,3249
82645,CHIPATA                                 ,-13.55,32.58333,1032
82646,MAGDALENA                               ,-13.33333,-64.11667,141
82647,SAN RAMON                               ,-13.3,-64.7,140
82648,LICHINGA                                ,-13.3,35.23333,1365
82649,BOM JESUS DA LAPA                       ,-13.26667,-43.41667,440
82650,HIHIFO (ILE WALLIS)                     ,-13.23333,-176.16667,27
82651,AYACUCHO                                ,-13.13333,-74.21667,2749
82652,SAN JOAQUIN                             ,-13.06667,-64.81667,140
82653,SALVADOR                                ,-13.01667,-38.51667,51
82654,PEMBA                                   ,-12.98333,40.53333,50
82655,DZAOUDZI/PAMANZI (MAYOTTE)              ,-12.8,45.28333,7
82656,VILHENA                                 ,-12.73333,-60.13333,652
82657,WEIPA AMO                               ,-12.68333,141.91667,22
82658,PUERTO MALDONADO                        ,-12.63333,-69.2,266
82659,LENCOIS                                 ,-12.56667,-41.38333,438
82660,ROTUMA                                  ,-12.5,177.05,26
82661,DARWIN AIRPORT                          ,-12.41667,130.88333,31
82662,DIEGO-SUAREZ                            ,-12.35,49.3,105
82663,GOVE AIRPORT                            ,-12.28333,136.81667,52
82664,TAGUATINGA                              ,-12.26667,-46.43333,660
82665,VERA (GLEBA CELESTE)                    ,-12.2,-56.5,415
82666,COCOS ISLAND AIRPORT                    ,-12.18333,96.81667,3
82667,BARREIRAS                               ,-12.15,-45,440
82668,LIMA-CALLAO/AEROP. INTERNACI            ,-12,-77.11667,13
82669,LUBUMBASHI-LUANO                        ,-11.66667,27.48333,1298
82670,ILES GLORIEUSES                         ,-11.58333,47.28333,4
82671,JACOBINA                                ,-11.18333,-40.46667,484
82672,COBIJA                                  ,-11.03333,-68.78333,235
82673,RIBERALTA                               ,-11,-66.11667,141
